"Year","Period","Geo Level","State","market","product_price","summ","measure","Value"
2023,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"CWT / ACRE","485"
2023,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"TONS / ACRE","24.26"
2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","$ / CWT","120"
2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","$ / CWT","120"
2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","ADJUSTED BASE","$ / CWT","10.8"
2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"$","3,173,579,000"
2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","22,382,200"
2023,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD",NA,"CWT","33,400"
2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","$ / TON","44.4"
2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","$ / TON","44.4"
2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","ADJUSTED BASE","$ / TON","4.05"
2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"$","225,364,000"
2023,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,144,400"
2023,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"CWT","27,526,600"
2023,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"TONS","1,376,330"
2023,"YEAR","STATE","CALIFORNIA",NA,"HARVESTED",NA,"acres","42,700"
2023,"YEAR","STATE","CALIFORNIA",NA,"PLANTED",NA,"Acres","43,100"
2023,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"$","2,965,387,000"
2023,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"CWT","24,600,000"
2023,"YEAR","STATE","CALIFORNIA",NA,"YIELD",NA,"CWT / ACRE","575"
2023,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2023,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2023,"YEAR","STATE","CALIFORNIA",NA,"NOT SOLD",NA,"CWT","24,600"
2023,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"$","(D)"
2023,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2023,"YEAR","STATE","CALIFORNIA",NA,"UTILIZED",NA,"CWT","24,575,400"
2023,"YEAR","STATE","FLORIDA",NA,"HARVESTED",NA,"acres","14,100"
2023,"YEAR","STATE","FLORIDA",NA,"PLANTED",NA,"Acres","14,200"
2023,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"$","433,556,000"
2023,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"CWT","2,960,000"
2023,"YEAR","STATE","FLORIDA",NA,"YIELD",NA,"CWT / ACRE","210"
2023,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2023,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2023,"YEAR","STATE","FLORIDA",NA,"NOT SOLD",NA,"CWT","8,800"
2023,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"$","(D)"
2023,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2023,"YEAR","STATE","FLORIDA",NA,"UTILIZED",NA,"CWT","2,951,200"
2023,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"$","3,173,579,000"
2023,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","22,382,200"
2023,"YEAR","STATE","OTHER STATES",NA,"NOT SOLD",NA,"CWT","0"
2023,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"$","225,364,000"
2023,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,144,400"
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"$ / CWT","114"
2022,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","135"
2022,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","27.1"
2022,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"$ / CWT","108"
2022,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"$ / CWT","169"
2022,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"$ / CWT","0"
2022,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","135"
2022,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","27.1"
2022,"YEAR","NATIONAL","US TOTAL",NA,"HARVESTED",NA,"acres","56,300"
2022,"YEAR","NATIONAL","US TOTAL",NA,"PLANTED",NA,"Acres","56,400"
2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"$","3,259,100,000"
2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"CWT","28,520,000"
2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"TONS","1,426,000"
2022,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"CWT / ACRE","507"
2022,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"TONS / ACRE","25.33"
2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","$ / CWT","116"
2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","$ / CWT","116"
2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"$","3,112,100,000"
2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","23,077,600"
2022,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD",NA,"CWT","25,700"
2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","$ / TON","43.5"
2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","$ / TON","43.5"
2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"$","147,000,000"
2022,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,416,700"
2022,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"CWT","28,494,300"
2022,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"TONS","1,424,715"
2022,"YEAR","STATE","CALIFORNIA",NA,"HARVESTED",NA,"acres","43,500"
2022,"YEAR","STATE","CALIFORNIA",NA,"PLANTED",NA,"Acres","43,600"
2022,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"$","2,781,768,000"
2022,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"CWT","25,700,000"
2022,"YEAR","STATE","CALIFORNIA",NA,"YIELD",NA,"CWT / ACRE","590"
2022,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2022,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2022,"YEAR","STATE","CALIFORNIA",NA,"NOT SOLD",NA,"CWT","25,700"
2022,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"$","(D)"
2022,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2022,"YEAR","STATE","CALIFORNIA",NA,"UTILIZED",NA,"CWT","25,674,300"
2022,"YEAR","STATE","FLORIDA",NA,"HARVESTED",NA,"acres","12,800"
2022,"YEAR","STATE","FLORIDA",NA,"PLANTED",NA,"Acres","12,800"
2022,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"$","477,332,000"
2022,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"CWT","2,820,000"
2022,"YEAR","STATE","FLORIDA",NA,"YIELD",NA,"CWT / ACRE","220"
2022,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2022,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2022,"YEAR","STATE","FLORIDA",NA,"NOT SOLD",NA,"CWT","0"
2022,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"$","(D)"
2022,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2022,"YEAR","STATE","FLORIDA",NA,"UTILIZED",NA,"CWT","2,820,000"
2022,"YEAR","STATE","OTHER STATES",NA,"HARVESTED",NA,"acres","0"
2022,"YEAR","STATE","OTHER STATES",NA,"PLANTED",NA,"Acres","0"
2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"$","0"
2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"CWT","0"
2022,"YEAR","STATE","OTHER STATES",NA,"YIELD",NA,"CWT / ACRE","0"
2022,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"$","3,112,100,000"
2022,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","23,077,600"
2022,"YEAR","STATE","OTHER STATES",NA,"NOT SOLD",NA,"CWT","0"
2022,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"$","147,000,000"
2022,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,416,700"
2022,"YEAR","STATE","OTHER STATES",NA,"UTILIZED",NA,"CWT","0"
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"$ / CWT","129"
2021,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","143"
2021,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","64"
2021,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"$ / CWT","125"
2021,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"$ / CWT","160"
2021,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"$ / CWT","0"
2021,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","143"
2021,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","64"
2021,"YEAR","NATIONAL","US TOTAL",NA,"HARVESTED",NA,"acres","52,500"
2021,"YEAR","NATIONAL","US TOTAL",NA,"PLANTED",NA,"Acres","52,500"
2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"$","3,583,960,000"
2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"CWT","27,930,000"
2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"TONS","1,396,500"
2021,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"CWT / ACRE","532"
2021,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"TONS / ACRE","26.6"
2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","$ / CWT","111"
2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"$","3,253,959,000"
2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","22,697,900"
2021,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD",NA,"CWT","75,300"
2021,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","$ / TON","44.1"
2021,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"$","330,001,000"
2021,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,156,800"
2021,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"CWT","27,854,700"
2021,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"TONS","1,392,735"
2021,"YEAR","STATE","CALIFORNIA",NA,"HARVESTED",NA,"acres","40,200"
2021,"YEAR","STATE","CALIFORNIA",NA,"PLANTED",NA,"Acres","40,200"
2021,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"$","3,132,279,000"
2021,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"CWT","25,100,000"
2021,"YEAR","STATE","CALIFORNIA",NA,"YIELD",NA,"CWT / ACRE","625"
2021,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2021,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2021,"YEAR","STATE","CALIFORNIA",NA,"NOT SOLD",NA,"CWT","75,300"
2021,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"$","(D)"
2021,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2021,"YEAR","STATE","CALIFORNIA",NA,"UTILIZED",NA,"CWT","25,024,700"
2021,"YEAR","STATE","FLORIDA",NA,"HARVESTED",NA,"acres","12,300"
2021,"YEAR","STATE","FLORIDA",NA,"PLANTED",NA,"Acres","12,300"
2021,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"$","451,681,000"
2021,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"CWT","2,830,000"
2021,"YEAR","STATE","FLORIDA",NA,"YIELD",NA,"CWT / ACRE","230"
2021,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2021,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2021,"YEAR","STATE","FLORIDA",NA,"NOT SOLD",NA,"CWT","0"
2021,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"$","(D)"
2021,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2021,"YEAR","STATE","FLORIDA",NA,"UTILIZED",NA,"CWT","2,830,000"
2021,"YEAR","STATE","OTHER STATES",NA,"HARVESTED",NA,"acres","0"
2021,"YEAR","STATE","OTHER STATES",NA,"PLANTED",NA,"Acres","0"
2021,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"$","0"
2021,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"CWT","0"
2021,"YEAR","STATE","OTHER STATES",NA,"YIELD",NA,"CWT / ACRE","0"
2021,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"$","3,253,959,000"
2021,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","22,697,900"
2021,"YEAR","STATE","OTHER STATES",NA,"NOT SOLD",NA,"CWT","0"
2021,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"$","330,001,000"
2021,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","5,156,800"
2021,"YEAR","STATE","OTHER STATES",NA,"UTILIZED",NA,"CWT","0"
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"$ / CWT","97.1"
2020,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","111"
2020,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","38.1"
2020,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"$ / CWT","93.1"
2020,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"$ / CWT","139"
2020,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"$ / CWT","0"
2020,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","111"
2020,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","38.1"
2020,"YEAR","NATIONAL","US TOTAL",NA,"HARVESTED",NA,"acres","49,300"
2020,"YEAR","NATIONAL","US TOTAL",NA,"PLANTED",NA,"Acres","49,700"
2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"$","2,591,759,000"
2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"CWT","26,740,000"
2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"TONS","1,337,000"
2020,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"CWT / ACRE","542"
2020,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"TONS / ACRE","27.12"
2020,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"$","2,404,152,000"
2020,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","21,756,400"
2020,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD",NA,"CWT","55,800"
2020,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"$","187,607,000"
2020,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","4,927,800"
2020,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"CWT","26,684,200"
2020,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED",NA,"TONS","1,334,210"
2020,"YEAR","STATE","CALIFORNIA",NA,"HARVESTED",NA,"acres","37,600"
2020,"YEAR","STATE","CALIFORNIA",NA,"PLANTED",NA,"Acres","38,000"
2020,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"$","2,267,175,000"
2020,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"CWT","24,400,000"
2020,"YEAR","STATE","CALIFORNIA",NA,"YIELD",NA,"CWT / ACRE","650"
2020,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2020,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2020,"YEAR","STATE","CALIFORNIA",NA,"NOT SOLD",NA,"CWT","48,800"
2020,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"$","(D)"
2020,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2020,"YEAR","STATE","CALIFORNIA",NA,"UTILIZED",NA,"CWT","24,351,200"
2020,"YEAR","STATE","FLORIDA",NA,"HARVESTED",NA,"acres","11,700"
2020,"YEAR","STATE","FLORIDA",NA,"PLANTED",NA,"Acres","11,700"
2020,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"$","324,584,000"
2020,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"CWT","2,340,000"
2020,"YEAR","STATE","FLORIDA",NA,"YIELD",NA,"CWT / ACRE","200"
2020,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"$","(D)"
2020,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2020,"YEAR","STATE","FLORIDA",NA,"NOT SOLD",NA,"CWT","7,000"
2020,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"$","(D)"
2020,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","(D)"
2020,"YEAR","STATE","FLORIDA",NA,"UTILIZED",NA,"CWT","2,333,000"
2020,"YEAR","STATE","OTHER STATES",NA,"HARVESTED",NA,"acres","0"
2020,"YEAR","STATE","OTHER STATES",NA,"PLANTED",NA,"Acres","0"
2020,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"$","0"
2020,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"CWT","0"
2020,"YEAR","STATE","OTHER STATES",NA,"YIELD",NA,"CWT / ACRE","0"
2020,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"$","2,404,152,000"
2020,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","21,756,400"
2020,"YEAR","STATE","OTHER STATES",NA,"NOT SOLD",NA,"CWT","0"
2020,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"$","187,607,000"
2020,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","4,927,800"
2020,"YEAR","STATE","OTHER STATES",NA,"UTILIZED",NA,"CWT","0"
2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"$ / CWT","115"
2019,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","130"
2019,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","52.8"
2019,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"$ / CWT","110"
2019,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"$ / CWT","152"
2019,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","130"
2019,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","52.8"
2019,"YEAR","NATIONAL","US TOTAL",NA,"HARVESTED",NA,"acres","45,400"
2019,"YEAR","NATIONAL","US TOTAL",NA,"PLANTED",NA,"Acres","45,800"
2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"$","2,749,961,000"
2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"CWT","23,980,000"
2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"TONS","1,199,000"
2019,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"CWT / ACRE","528"
2019,"YEAR","NATIONAL","US TOTAL",NA,"YIELD",NA,"TONS / ACRE","26.41"
2019,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"$","2,501,482,000"
2019,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","CWT","19,251,000"
2019,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD",NA,"CWT","21,300"
2019,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"$","248,479,000"
2019,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","CWT","4,707,700"
